year,period,periodName,latest,value,footnotes,calculations
2023,M10,October,true,141.571,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]","{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '0.9', '6': '0.1', '12': '0.0'}}"
2023,M09,September,,140.829,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]","{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.6', '6': '-1.2', '12': '-1.7'}}"
2023,M08,August,,140.667,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]","{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '-0.3', '6': '-1.7', '12': '-1.7'}}"
2023,M07,July,,140.275,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]","{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '-0.8', '6': '-1.8', '12': '-1.7'}}"
2023,M06,June,,139.970,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.7', '3': '-1.8', '6': '-1.3', '12': '-1.7'}}"
2023,M05,May,,141.025,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '-1.5', '6': '-0.5', '12': '-0.6'}}"
2023,M04,April,,141.414,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.8', '3': '-1.0', '6': '-0.1', '12': '0.2'}}"
2023,M03,March,,142.550,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.4', '3': '0.5', '6': '-0.5', '12': '1.6'}}"
2023,M02,February,,143.121,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '1.0', '6': '0.0', '12': '2.2'}}"
2023,M01,January,,142.803,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '0.9', '6': '0.1', '12': '2.5'}}"
2022,M12,December,,141.784,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '-1.1', '6': '-0.4', '12': '2.1'}}"
2022,M11,November,,141.768,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '-0.9', '6': '0.0', '12': '1.9'}}"
2022,M10,October,,141.536,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-1.2', '3': '-0.8', '6': '0.3', '12': '2.2'}}"
2022,M09,September,,143.291,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.1', '3': '0.6', '6': '2.1', '12': '3.0'}}"
2022,M08,August,,143.104,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.9', '6': '2.2', '12': '2.7'}}"
2022,M07,July,,142.716,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '1.2', '6': '2.5', '12': '3.0'}}"
2022,M06,June,,142.402,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '1.5', '6': '2.6', '12': '3.5'}}"
2022,M05,May,,141.819,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '1.3', '6': '1.9', '12': '3.4'}}"
2022,M04,April,,141.070,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '1.3', '6': '1.8', '12': '3.6'}}"
2022,M03,March,,140.343,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '1.1', '6': '0.9', '12': '3.0'}}"
2022,M02,February,,139.993,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '0.6', '6': '0.5', '12': '2.6'}}"
2022,M01,January,,139.256,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '0.5', '6': '0.5', '12': '2.0'}}"
2021,M12,December,,138.807,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '-0.2', '6': '0.9', '12': '2.0'}}"
2021,M11,November,,139.140,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '-0.1', '6': '1.4', '12': '2.5'}}"
2021,M10,October,,138.521,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.4', '3': '-0.1', '6': '1.7', '12': '3.1'}}"
2021,M09,September,,139.102,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.2', '3': '1.1', '6': '2.1', '12': '3.2'}}"
2021,M08,August,,139.329,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '1.6', '6': '2.1', '12': '3.5'}}"
2021,M07,July,,138.598,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '1.8', '6': '1.5', '12': '3.2'}}"
2021,M06,June,,137.6,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '1.0', '6': '1.1', '12': '2.8'}}"
2021,M05,May,,137.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.7', '3': '0.6', '6': '1.0', '12': '2.3'}}"
2021,M04,April,,136.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '-0.2', '6': '1.3', '12': '1.3'}}"
2021,M03,March,,136.2,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '0.1', '6': '1.0', '12': '1.6'}}"
2021,M02,February,,136.4,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '0.4', '6': '1.3', '12': '1.4'}}"
